Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
5137,2022-08-03,00:00:00,209,139,0.36000000536441806,3.9600000858306887,0.7200000107288361,1.0800000429153442
5138,2022-08-03,01:00:00,224,233,0.7200000107288361,3.6,0.7200000107288361,0.7200000107288361
5139,2022-08-03,02:00:00,211,150,1.4400000214576723,2.1600000858306885,0.7200000107288361,0.7200000107288361
5140,2022-08-03,03:00:00,203,217,2.1600000858306885,2.519999957084656,1.0800000429153442,0.7200000107288361
5141,2022-08-03,04:00:00,218,237,1.4400000214576723,6.479999828338623,1.0800000429153442,1.0800000429153442
5142,2022-08-03,05:00:00,212,243,1.8,6.479999828338623,1.0800000429153442,0.7200000107288361
5143,2022-08-03,06:00:00,233,232,0.7200000107288361,4.320000171661377,0.7200000107288361,0.7200000107288361
5144,2022-08-03,07:00:00,203,85,2.1600000858306885,2.1600000858306885,0.7200000107288361,1.0800000429153442
5145,2022-08-03,08:00:00,200,116,2.1600000858306885,3.2399999141693114,1.4400000214576723,1.4400000214576723
5146,2022-08-03,09:00:00,167,100,0.7200000107288361,11.879999828338624,0.7200000107288361,2.1600000858306885
5147,2022-08-03,10:00:00,198,86,2.8800000429153445,14.040000343322754,1.0800000429153442,2.1600000858306885
5148,2022-08-03,11:00:00,178,82,1.4400000214576723,15.119999313354493,1.4400000214576723,2.8800000429153445
5149,2022-08-03,12:00:00,9,76,2.1600000858306885,15.119999313354493,1.4400000214576723,2.1600000858306885
5150,2022-08-03,13:00:00,32,78,3.2399999141693114,13.679999828338623,2.1600000858306885,2.1600000858306885
5151,2022-08-03,14:00:00,27,68,4.679999828338623,15.480000686645509,2.8800000429153445,2.1600000858306885
5152,2022-08-03,15:00:00,18,73,5.4,14.040000343322754,2.519999957084656,1.8
5153,2022-08-03,16:00:00,14,76,5.4,15.480000686645509,2.519999957084656,1.8
